Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 3.0859999999999985, space, 4.121000000000002, , , , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 12.698000000000004, , , , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 17.136000000000003, , , , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.788000000000004, , , , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 15.950000000000003, , , , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 16.35199999999999, , , , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.979, , , , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 21.490999999999985, , , , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.1380000000000052, , , , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 12.732, , , , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.594999999999999, , , , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 15:51:21 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
