Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.7660000000000018, space, 5.434000000000005, , , , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 20.899, , , , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 23.450000000000003, , , , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 20.26599999999999, , , , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 30.117999999999995, , , , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 25.433999999999997, , , , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 19.94999999999999, , , , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 16.71599999999998, , , , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 11.21799999999999, , , , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 28.469000000000023, , , , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:27:46 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
