,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType
22,near_right,Right,right,0.0,0.0,11.0,21208596,right,1.0,1.065999999999974,Frisbee,Near,Relative
23,far_left,Away,right,0.0,1.0,12.0,21208596,right,1.0,0.9499999999999886,Frisbee,Far,Absolute
24,far_left,Right,left,0.0,2.0,8.0,21208596,left,1.0,0.7330000000000041,Frisbee,Far,Relative
25,far_right,Away,left,0.0,3.0,13.0,21208596,left,1.0,1.0329999999999586,Frisbee,Far,Absolute
26,far_left,Home,right,0.0,4.0,4.0,21208596,right,1.0,1.233000000000004,Frisbee,Far,Absolute
27,far_right,Left,left,0.0,5.0,1.0,21208596,left,1.0,1.0,Frisbee,Far,Relative
28,far_right,Home,right,0.0,6.0,5.0,21208596,right,1.0,1.233000000000004,Frisbee,Far,Absolute
29,far_left,Left,left,0.0,7.0,0.0,21208596,left,1.0,0.6659999999999968,Frisbee,Far,Relative
30,near_left,Right,left,0.0,8.0,10.0,21208596,left,1.0,0.9500000000000456,Frisbee,Near,Relative
31,far_right,Right,right,0.0,9.0,9.0,21208596,right,1.0,1.217999999999961,Frisbee,Far,Relative
32,near_left,Left,right,0.0,10.0,2.0,21208596,right,1.0,1.099999999999966,Frisbee,Near,Relative
33,near_right,Home,left,0.0,11.0,7.0,21208596,left,1.0,1.2150000000000318,Frisbee,Near,Absolute
34,near_left,Home,left,0.0,12.0,6.0,21208596,left,1.0,0.7160000000000082,Frisbee,Near,Absolute
35,near_right,Away,left,0.0,13.0,15.0,21208596,left,1.0,1.7509999999999764,Frisbee,Near,Absolute
36,near_left,Away,right,0.0,14.0,14.0,21208596,right,1.0,1.0319999999999825,Frisbee,Near,Absolute
37,near_right,Left,right,0.0,15.0,3.0,21208596,right,1.0,0.9000000000000341,Frisbee,Near,Relative
38,near_right,Right,right,1.0,0.0,11.0,21208596,right,1.0,1.2170000000000414,Frisbee,Near,Relative
39,far_right,Home,right,1.0,1.0,5.0,21208596,right,1.0,1.0500000000000114,Frisbee,Far,Absolute
40,near_right,Away,left,1.0,2.0,15.0,21208596,left,1.0,0.9669999999999844,Frisbee,Near,Absolute
41,near_left,Away,right,1.0,3.0,14.0,21208596,right,1.0,1.0339999999999918,Frisbee,Near,Absolute
42,near_left,Left,right,1.0,4.0,2.0,21208596,right,1.0,0.8500000000000227,Frisbee,Near,Relative
43,far_right,Away,left,1.0,5.0,13.0,21208596,left,1.0,1.1019999999999754,Frisbee,Far,Absolute
44,near_right,Home,left,1.0,6.0,7.0,21208596,left,1.0,1.0680000000000405,Frisbee,Near,Absolute
45,far_left,Left,left,1.0,7.0,0.0,21208596,left,1.0,0.9499999999999886,Frisbee,Far,Relative
46,far_left,Right,left,1.0,8.0,8.0,21208596,left,1.0,0.8170000000000073,Frisbee,Far,Relative
47,far_right,Left,left,1.0,9.0,1.0,21208596,left,1.0,0.7330000000000041,Frisbee,Far,Relative
48,near_right,Left,right,1.0,10.0,3.0,21208596,right,1.0,0.6680000000000064,Frisbee,Near,Relative
49,near_left,Right,left,1.0,11.0,10.0,21208596,left,1.0,1.0,Frisbee,Near,Relative
50,far_right,Right,right,1.0,12.0,9.0,21208596,right,1.0,0.9010000000000103,Frisbee,Far,Relative
51,near_left,Home,left,1.0,13.0,6.0,21208596,left,1.0,1.0339999999999918,Frisbee,Near,Absolute
52,far_left,Home,right,1.0,14.0,4.0,21208596,right,1.0,1.1329999999999814,Frisbee,Far,Absolute
53,far_left,Away,right,1.0,15.0,12.0,21208596,right,1.0,1.1650000000000205,Frisbee,Far,Absolute
54,far_left,Away,right,2.0,0.0,12.0,21208596,right,1.0,0.6499999999999773,Frisbee,Far,Absolute
55,near_right,Away,left,2.0,1.0,15.0,21208596,left,1.0,0.7330000000000041,Frisbee,Near,Absolute
56,far_left,Home,right,2.0,2.0,4.0,21208596,right,1.0,0.7819999999999823,Frisbee,Far,Absolute
57,near_right,Right,right,2.0,3.0,11.0,21208596,right,1.0,0.7660000000000196,Frisbee,Near,Relative
58,far_right,Home,right,2.0,4.0,5.0,21208596,right,1.0,1.0,Frisbee,Far,Absolute
59,far_left,Left,left,2.0,5.0,0.0,21208596,left,1.0,0.9010000000000103,Frisbee,Far,Relative
60,far_left,Right,left,2.0,6.0,8.0,21208596,left,1.0,0.8170000000000073,Frisbee,Far,Relative
61,far_right,Away,left,2.0,7.0,13.0,21208596,left,1.0,1.1490000000000011,Frisbee,Far,Absolute
62,far_right,Right,right,2.0,8.0,9.0,21208596,right,1.0,1.2989999999999782,Frisbee,Far,Relative
63,near_left,Left,right,2.0,9.0,2.0,21208596,right,1.0,0.8100000000000023,Frisbee,Near,Relative
