Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.8350000000000009, space, 5.595000000000001, , , , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 13.512, , , , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.727999999999994, , , , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.014000000000003, , , , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.604, , , , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.234000000000002, , , , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.866, , , , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.012999999999991, , , , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.375999999999991, , , , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 8.634, , , , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 27.946000000000012, , , , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.8910000000000196, , , , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.757000000000005, , , , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.4890000000000043, , , , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 1, 147.256, space, 0.2510000000000332, space, 5.412000000000035, left, 1.5690000000000168, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.603999999999985, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.6870000000000118, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.535000000000025, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.3690000000000282, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.1519999999999868, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.4190000000000396, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , left, 1.4540000000000077, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , space, 6.529999999999973, right, 1, 1.2199999999999704, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 0, 0, 0, 2, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , right, 1, 1.1859999999999786, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 0, 1, 1, 5, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , right, 1, 0.9679999999999609, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 0, 2, 2, 3, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , left, 0, 1.271000000000015, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 0, 3, 3, 12, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , right, 1, 1.3530000000000086, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 0, 4, 4, 4, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , right, 0, 1.3530000000000086, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 0, 5, 5, 13, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , left, 1, 1.5699999999999932, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 0, 6, 6, 15, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , left, 1, 0.9359999999999786, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 0, 7, 7, 8, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , left, 1, 1.23599999999999, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 0, 8, 8, 10, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , right, 1, 2.6889999999999645, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 9, 9, 9, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , left, 1, 1.8879999999999768, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 0, 10, 10, 7, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , left, 1, 2.055000000000007, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 0, 11, 11, 0, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , right, 0, 1.23599999999999, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 0, 12, 12, 6, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , right, 1, 2.605000000000018, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 0, 13, 13, 14, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , right, 1, 1.8040000000000305, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 14, 14, 11, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , , , left, 1, 1.754000000000019, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 0, 15, 15, 1, 64024983, Wed Oct 04 2017 12:02:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
