Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, Participant ID, date, expName, frameRate
space, 1.8099999999999987, space, 4.038, , , , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 46.934999999999995, , , , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 8.754000000000005, , , , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.1809999999999974, , , , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 10.858000000000004, , , , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 48.215999999999994, , , , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 13.763000000000005, , , , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 6.054000000000002, , , , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 6.804000000000002, , , , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.2050000000000125, , , , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 4.229000000000013, , , , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.9029999999999916, , , , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.867999999999995, , , , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.6709999999999923, , , , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , 1, 2.0020000000000095, space, 0.5629999999999882, space, 0.2880000000000109, left, 3.6860000000000355, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.149000000000001, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.649000000000001, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.3310000000000173, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , left, 1.4289999999999736, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.7989999999999782, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , right, 1.3570000000000277, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 81030517, Thu Aug 10 2017 16:25:57 GMT-0400 (EDT), Ultimate_Frisbee, 60
