Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.6000000000000005, space, 3.782, , , , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 6.032, , , , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 0.8830000000000027, , , , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 1.1679999999999993, , , , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 5.649000000000001, , , , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 2.216000000000001, , , , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 1.134000000000004, , , , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 1.2169999999999987, , , , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 0.9819999999999993, , , , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 1.166000000000004, , , , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 0.2990000000000066, , , , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 1.8669999999999973, , , , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 1.5670000000000002, , , , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 0.48499999999999943, , , , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , 1, 3.8029999999999973, space, 0.3649999999999949, space, 1.2150000000000034, left, 1.0330000000000013, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , right, 0.9279999999999973, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , left, 0.6479999999999961, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , right, 0.8100000000000023, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , left, 0.8640000000000043, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , right, 0.48100000000000875, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , right, 0.916000000000011, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , left, 1.164999999999992, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , space, 0.2669999999999959, right, 1, 1.0649999999999977, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 0, 0, 0, 14, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.782999999999987, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 0, 1, 1, 9, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 0.7660000000000196, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 0, 2, 2, 10, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.6669999999999732, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 3, 3, 1, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 0.882000000000005, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 0, 4, 4, 12, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.6990000000000123, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 3, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.9989999999999952, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 0, 6, 6, 8, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.6839999999999975, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 0, 7, 7, 15, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 0.9519999999999982, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 8, 8, 5, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.7319999999999993, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 0, 9, 9, 6, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 0.8480000000000132, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 0, 10, 10, 2, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 0.7659999999999911, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 0, 11, 11, 0, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 0.7949999999999875, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 0, 12, 12, 7, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.75, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 0, 13, 13, 4, 28057826, Wed Nov 15 2017 13:43:41 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
