Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.5670000000000002, space, 4.786, , , , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 5.352, , , , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 2.0010000000000012, , , , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 2.2510000000000012, , , , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 6.1200000000000045, , , , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 8.954999999999998, , , , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 3.2349999999999994, , , , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 16.375, , , , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 5.668999999999997, , , , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 1.8349999999999937, , , , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 2.6680000000000064, , , , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 1.3840000000000003, , , , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 3.0849999999999937, , , , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , space, 5.868000000000009, , , , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , , , 1, 1.034000000000006, space, 0.9339999999999975, space, 0.9000000000000057, left, 2.3840000000000003, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , , , right, 1.0829999999999984, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , , , right, 2.370999999999981, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , , , right, 0.6499999999999773, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , , , left, 0.6329999999999814, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 32670019, Wed Nov 15 2017 16:02:14 GMT-0500 (EST), Road_Intersection, 60
