Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.7349999999999994, space, 2.827999999999996, , , , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 8.010000000000005, , , , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.253, , , , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.1340000000000003, , , , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.6739999999999995, , , , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.572000000000003, , , , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.6529999999999916, , , , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.939999999999998, , , , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 4.771000000000001, , , , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.5840000000000032, , , , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:23:05 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
