Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.779, space, 3.780000000000001, , , , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.745999999999999, , , , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.6780000000000008, , , , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.6089999999999982, , , , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 9.762999999999998, , , , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 9.932000000000002, , , , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.6270000000000024, , , , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.271000000000001, , , , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.3729999999999976, , , , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.4250000000000043, , , , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.982999999999997, , , , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.4239999999999995, , , , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.1700000000000017, , , , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 14.661000000000001, , , , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 6421150, Fri Oct 20 2017 12:27:55 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
