Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2.282, space, 20.815999999999995, , , , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 22.333999999999996, , , , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 12.733000000000004, , , , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 13.882999999999996, , , , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 26.667999999999992, , , , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 17.617999999999995, , , , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.518000000000001, , , , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 35.86700000000002, , , , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.235000000000014, , , , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 10.216000000000008, , , , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 9, , , , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.483000000000004, , , , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.0010000000000048, , , , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 23.833, , , , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , 1, 1.9840000000000089, space, 3.216000000000008, space, 6.766999999999996, left, 1.9309999999999832, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , right, 1.9470000000000027, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , right, 2.0819999999999936, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , right, 1.3830000000000382, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , left, 1.9150000000000205, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , right, 1.0160000000000196, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , right, 1.233000000000004, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , left, 1.6159999999999854, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , space, 38.849000000000046, right, 1, 1.6659999999999968, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 0, 0, 0, 4, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.481999999999971, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 0, 1, 1, 13, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.4839999999999804, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 2, 2, 5, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.5160000000000196, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 0, 3, 3, 10, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 1.5679999999999836, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 4, 4, 1, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 0.8659999999999854, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 0, 5, 5, 11, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 0, 1.350999999999999, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 0, 6, 6, 12, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.3330000000000268, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 0, 7, 7, 0, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.1329999999999814, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 0, 8, 8, 2, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 0, 3.099999999999966, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 0, 9, 9, 9, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.9159999999999968, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 0, 10, 10, 14, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.816000000000031, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 0, 11, 11, 7, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 1.0509999999999877, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 0, 12, 12, 3, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.9830000000000041, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 0, 13, 13, 6, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.8670000000000186, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 0, 14, 14, 15, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 1.9499999999999886, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 0, 15, 15, 8, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.1329999999999814, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 1, 0, 16, 7, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.0160000000000196, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 1, 1, 17, 10, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.0670000000000073, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 1, 2, 18, 2, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 1, 3, 19, 11, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.3669999999999618, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 1, 4, 20, 0, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 1.016999999999939, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 1, 5, 21, 9, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , left, 1, 1.6169999999999618, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 1, 6, 22, 13, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , , , right, 1, 0.7980000000000018, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 1, 7, 23, 15, 67096388, Thu Oct 19 2017 20:14:22 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
