Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_3.keys, key_resp_3.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 14.017000000000001, space, 6.585000000000004, , , , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 9.650999999999996, , , , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.754000000000005, , , , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 9.051000000000002, , , , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 16.867999999999995, , , , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 11.317999999999998, , , , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 9.635000000000005, , , , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 20.768, , , , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.049999999999983, , , , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.984000000000009, , , , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.1159999999999854, , , , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.1340000000000146, , , , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:06:31 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
