,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType
22,far_left,Away,right,0.0,0.0,4.0,21208596,right,1.0,1.217999999999961,Navigation,Far,Absolute
23,near_left,Left,left,0.0,1.0,10.0,21208596,left,1.0,0.6009999999999991,Navigation,Near,Relative
24,near_right,Right,right,0.0,2.0,15.0,21208596,right,1.0,1.0349999999999682,Navigation,Near,Relative
25,far_left,Right,left,0.0,3.0,12.0,21208596,left,1.0,1.1649999999999636,Navigation,Far,Relative
26,near_left,Right,right,0.0,4.0,14.0,21208596,right,1.0,0.8520000000000891,Navigation,Near,Relative
27,far_left,Left,right,0.0,5.0,8.0,21208596,right,1.0,1.1680000000000064,Navigation,Far,Relative
28,near_left,Away,right,0.0,6.0,6.0,21208596,right,1.0,1.4990000000000236,Navigation,Near,Absolute
29,far_right,Away,left,0.0,7.0,5.0,21208596,left,1.0,0.9169999999999164,Navigation,Far,Absolute
30,near_right,Away,left,0.0,8.0,7.0,21208596,right,0.0,0.58299999999997,Navigation,Near,Absolute
31,far_right,Home,right,0.0,9.0,1.0,21208596,right,1.0,1.0,Navigation,Far,Absolute
32,near_left,Home,left,0.0,10.0,2.0,21208596,left,1.0,0.7509999999999764,Navigation,Near,Absolute
33,far_left,Home,left,0.0,11.0,0.0,21208596,left,1.0,0.7509999999999764,Navigation,Far,Absolute
34,near_right,Left,left,0.0,12.0,11.0,21208596,left,1.0,0.9670000000000982,Navigation,Near,Relative
35,far_right,Left,right,0.0,13.0,9.0,21208596,right,1.0,1.2659999999999627,Navigation,Far,Relative
36,far_right,Right,left,0.0,14.0,13.0,21208596,left,1.0,0.8669999999999618,Navigation,Far,Relative
37,near_right,Home,right,0.0,15.0,3.0,21208596,right,1.0,0.6009999999999991,Navigation,Near,Absolute
38,far_left,Right,left,1.0,0.0,12.0,21208596,left,1.0,1.2830000000000157,Navigation,Far,Relative
39,near_left,Left,left,1.0,1.0,10.0,21208596,left,1.0,0.9679999999999608,Navigation,Near,Relative
40,far_right,Left,right,1.0,2.0,9.0,21208596,right,1.0,0.6660000000000537,Navigation,Far,Relative
41,far_right,Away,left,1.0,3.0,5.0,21208596,left,1.0,0.6499999999999773,Navigation,Far,Absolute
42,near_left,Right,right,1.0,4.0,14.0,21208596,right,1.0,0.5009999999999764,Navigation,Near,Relative
43,near_right,Away,left,1.0,5.0,7.0,21208596,left,1.0,0.4660000000000082,Navigation,Near,Absolute
44,near_left,Home,left,1.0,6.0,2.0,21208596,left,1.0,0.4990000000000237,Navigation,Near,Absolute
45,far_right,Home,right,1.0,7.0,1.0,21208596,right,1.0,0.7169999999999845,Navigation,Far,Absolute
46,far_right,Right,left,1.0,8.0,13.0,21208596,left,1.0,0.9160000000000535,Navigation,Far,Relative
47,far_left,Left,right,1.0,9.0,8.0,21208596,right,1.0,0.7160000000000082,Navigation,Far,Relative
48,near_left,Away,right,1.0,10.0,6.0,21208596,right,1.0,0.9669999999999844,Navigation,Near,Absolute
49,near_right,Right,right,1.0,11.0,15.0,21208596,right,1.0,0.7319999999999709,Navigation,Near,Relative
50,far_left,Home,left,1.0,12.0,0.0,21208596,left,1.0,0.6499999999999773,Navigation,Far,Absolute
51,far_left,Away,right,1.0,13.0,4.0,21208596,right,1.0,0.9980000000000472,Navigation,Far,Absolute
52,near_right,Left,left,1.0,14.0,11.0,21208596,left,1.0,0.7830000000000155,Navigation,Near,Relative
53,near_right,Home,right,1.0,15.0,3.0,21208596,right,1.0,0.8820000000000618,Navigation,Near,Absolute
54,near_left,Right,right,2.0,0.0,14.0,21208596,right,1.0,0.8669999999999618,Navigation,Near,Relative
