Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, Participant ID, date, expName, frameRate
space, 1.3179999999999996, space, 1.5350000000000001, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.4009999999999998, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.15000000000000036, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.16799999999999926, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.1670000000000016, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.01699999999999946, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.1509999999999998, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.18500000000000227, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.18299999999999983, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.1490000000000009, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 123123, Fri Aug 11 2017 10:12:49 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
