StartDate,confirmationcode,psychopycode
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""confirmationcode""}","{""ImportId"":""psychopycode""}"
Start Date,confirmationcode,psychopycode
8/19/2017 21:08,50839546,81058337
8/20/2017 9:00,97958950,80113241
8/20/2017 10:06,94605039,36148861
8/20/2017 10:28,4640342,92676929
8/20/2017 11:32,2987802,61853264
8/20/2017 12:01,89009412,49320823
8/20/2017 12:22,31776161,78764541
8/20/2017 20:31,92196727,30426108
8/21/2017 0:22,74779937,44643324
8/21/2017 9:20,15016853,61216562
8/21/2017 9:52,15949615,86763169
8/21/2017 12:39,21094030,6061126
8/21/2017 12:43,45152129,40321903
8/21/2017 14:38,94955502,52817250
8/22/2017 14:53,45171900,34545091
8/23/2017 16:03,52162577,7889786
8/23/2017 18:02,29114940,63854690
8/23/2017 21:52,39683254,49541095
8/24/2017 17:02,75650442,97924102
8/28/2017 16:56,17326608,21208596
8/28/2017 17:21,54174712,95173719
8/28/2017 23:20,28145,43843481
9/4/2017 22:10,25481565,72765732
9/8/2017 1:22,68356134,3651739
9/8/2017 9:47,97139836,99990726
9/11/2017 9:25,22316954,3771103
9/15/2017 15:41,31598815,60510916
9/19/2017 16:33,40882209,40119543
9/28/2017 17:29,49041908,98888826
10/4/2017 10:08,52416172,9495124
10/4/2017 11:16,3249671,64024983
10/4/2017 12:48,17903529,41685255
10/6/2017 17:08,74352318,2189950
10/7/2017 15:58,54395469,62228828
10/19/2017 19:24,16753163,90544723
10/19/2017 20:07,60325105,67096388
10/20/2017 8:54,8812679,44376975
10/20/2017 12:16,65344809,6421150
10/20/2017 12:36,15578091,82427599
10/21/2017 13:42,62026655,64824344
10/21/2017 14:03,79597991,55572456
11/15/2017 13:31,38833485,58839785
11/15/2017 13:33,47560848,28057826
11/15/2017 13:34,35859198,22363073
11/15/2017 13:51,59902325,26044874
11/15/2017 14:09,42100979,56594642
11/15/2017 14:10,14064910,40632896
11/15/2017 14:13,11523224,24523564
11/15/2017 14:24,37321852,55421948
11/15/2017 14:32,10576472,3737334
11/15/2017 14:36,88922824,38638936
11/15/2017 14:45,32233412,64490590
11/15/2017 15:02,57792262,91021895
11/15/2017 15:26,76533358,3880734
11/15/2017 15:57,12687043,68116738
11/15/2017 15:57,58218292,32670019
11/15/2017 16:00,83146145,63506070
11/15/2017 16:21,98946092,56499208
11/15/2017 16:21,63699797,58799837
