What is your age?,"How many years of education have you completed? 
 

Completing high school is equivalent to 12 years of education (e.g., an undergraduate student will have completed 14 years of education by the end of their second year at college / university).",Is English your first language?,Do you normally write with your right hand?,What sex were you assigned at birth?,What is your sexual orientation? - Selected Choice,What is your race / ethnicity? - Selected Choice,I am very good at giving directions.,I have a poor memory for where I left things.,I am very good at judging distances.,"My ""sense of direction"" is very good.","I tend to think of my environment in terms of cardinal directions (N, S, E, W).",I very easily get lost in a new city.,I enjoy reading maps.,I have trouble understanding directions.,I am very good at reading maps.,I don't remember routes very well while riding as a passenger in a car.,I don't enjoy giving directions.,It's not important to me to know where I am.,I usually let someone else do the navigational planning for long trips.,I can usually remember a new route after I have traveled it only once.,"I don't have a very good ""mental map"" of my environment.",How many years ago did you start playing ultimate frisbee? - Years,How many years have you played ultimate frisbee for (at least 1 season per year)? - Years,"During that time, what levels of ultimate have you played? (Check all that apply)","What level of play best matches your skill level (it's a challenge, but you can contribute to a team)? PADA players can name the league (FPSL, UHLE, spring league, etc.), other players just describe the level with as much detail as possible.",Have you ever taught or coached ultimate frisbee? (Check all that apply),What is your preferred offensive position?,What is your throwing range? - Backhand,What is your throwing range? - Forehand,What is your preferred defensive position in a zone?,"Do you know what a Force is, in ultimate frisbee lingo?","How comfortable are you with knowing what ""Force Home"" and ""Force Away"" mean?","How comfortable are you with knowing what ""Force Backhand"" and ""Force Forehand (Flick)"" mean?",What hand do you prefer to throw a frisbee with?,"If you had to choose, how would you prefer that the force be called?",How did you answer the questions from the Ultimate Frisbee task? Did you find anything particularly difficult about them?,How did you answer the questions from the Road Intersection task? Did you find anything particularly difficult about them?,Did you have any technical difficulties along the way?,Anything else you want to mention?,confirmationcode,psychopycode,"whicFirst (frizFirst = 1, navFirst = 2)"
30,16,english,right,male,heterosexual,white,"7
(Strongly Agree)
",3,5,5,3,3,"7
(Strongly Agree)
","1
(Strongly Disagree)
",4,5,5,6,"1
(Strongly Disagree)
",5,"1
(Strongly Disagree)
",15,15,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.,I've played on a professional team.",Nationals level club/professional,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.,I've taught a clinic to players in high school or above.,I coach a high school, college, club, or professional team.",Handler,40 yards or more,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,Sometimes I jumped the gun and hit the wrong arrow key,"I too often reoriented myself to the perspective of the figure when it was facing me, and pressed the arrow key that corresponded to the direction they should have gone, instead of the arrow key corresponding to the direction they should go from my perspective",,,74352318,2189950,2
24,16,english,right,male,heterosexual,white,6,6,5,6,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
",2,2,"1
(Strongly Disagree)
",2,5,"1
(Strongly Disagree)
",10,7,"I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.,I've played on a professional team.",AUDL/Club,I've taught a clinic to players in high school or above.,Cutter,40 yards or more,40 yards or more,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,No,reversing arrow directions for the stick figure facing toward you,no,no,68356134,3651739,1
21,15,english,right,female,bisexual,white,6,4,4,6,3,3,5,2,5,2,2,"1
(Strongly Disagree)
",2,5,2,7,7,"I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.",club,Informally to teammates during timeouts or on the sidelines.,Both,40 yards or more,40 yards or more,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,not really,more difficult when the person was facing towards me,no,no,22316954,3771103,2
28,16,english,right,female,heterosexual,white,5,3,6,2,"1
(Strongly Disagree)
",5,4,"1
(Strongly Disagree)
",5,"7
(Strongly Agree)
",6,4,6,3,5,10,10,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",a not very competitive club team,"No, not really.",Handler,40 yards or more,20-40 yards,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,Put myself as the mark,Hard to think left vs right when I was the person facing me,no,no,76533358,3880734,1
23,17,english,right,female,heterosexual,white,4,5,6,3,4,6,2,5,3,6,5,2,4,2,5,6,5,"I've played recreationally (pickup, with friends, at camp).,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",Club teams / high ranking college team,Informally to teammates during timeouts or on the sidelines.,Both,20-40 yards,40 yards or more,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,I thought about myself in the position the stick figure was in and what I would throw. I didn't think it was difficult. ,The person facing me and deciding which direction to go was very difficult. I tried to imagine myself in the position but it was more difficult at the intersection.  ,No. ,No. ,21094030,6061126,1
30,16,english,right,male,heterosexual,white,"7
(Strongly Agree)
",5,6,4,3,4,5,"1
(Strongly Disagree)
",5,3,2,2,4,4,2,12,9,"I've played ultimate frisbee in casual settings, but never on an organized team.,I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played on a college team.",Mid-level PADA player (FPSL),"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.",Handler,20-40 yards,40 yards or more,Deep Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,Not too difficult; better with home and away than flick and backhand.,"Okay, difficulty on home and away when the person was facing me; hesitant on more decisions (it felt like)",No,Nice work Steve!,65344809,6421150,1
30,16,english,right,female,heterosexual,white,6,2,3,3,"1
(Strongly Disagree)
",6,5,5,3,6,2,"1
(Strongly Disagree)
",6,3,3,12,11,I've played on a club team.,Club - highly competitive leagues/teams,"I coach a high school, college, club, or professional team.",Both,20-40 yards,40 yards or more,Cup,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,"sometimes just trying to go fast I would click the wrong one and make a mistake, even though I knew the answer","when the stick figure was facing me and needed to turn, I had to think about myself and turn myself around in my head/used my hands",I closed a window accidentally then somehow got back to enter the code,it was really interesting/felt like a game to me...I would play brain games like that if they existed.,52162577,7889786,2
36,23,english,right,male,heterosexual,white,"7
(Strongly Agree)
",2,5,6,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
",2,"7
(Strongly Agree)
","1
(Strongly Disagree)
",2,"7
(Strongly Agree)
","1
(Strongly Disagree)
",6,2,17,17,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a college team.,I've played on a club team.",Philly Fall Competitive Core League,"No, not really.",Both,20-40 yards,20-40 yards,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Home / Away,Backhand/forehand force requires an extra step of visualizing how they throw the frisbee.,,,,52416172,9495124,2
23,16,english,right,male,heterosexual,"hisp,white",6,5,3,6,6,3,6,3,5,6,2,2,3,2,3,8,8,"I've played recreationally (pickup, with friends, at camp).,I've played in learning settings (clinics, learning leagues),I've played in a casual recreational but organized league.,I've played in a competitive recreational league.,I've played on a high school team.,I've played on a college team.,I've played on a club team.,I've played on a professional team.",I compete on a team that regularly attends Nationals and the other highest-level tournaments.,"Informally to teammates during timeouts or on the sidelines.,I've captained a recreational team.,I've taught a clinic to players in middle school or younger.",Handler,Always a struggle,Always a struggle,Wing,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,"I answered them pretty easily, the ones that took me the longest (I think) were the backhand ones.","The Road Intersection task felt a little more difficult, and I struggled most with when the person was facing me and I had to go right or left.",No,No,17326608,21208596,1
21,16,english,right,male,heterosexual,white,5,2,5,3,6,2,"7
(Strongly Agree)
",3,6,6,3,"1
(Strongly Disagree)
",2,"1
(Strongly Disagree)
",3,4,4,"I've played recreationally (pickup, with friends, at camp).,I've played in a casual recreational but organized league.,I've played on a college team.","I've played on the A team for both Boston University and now UPenn. I've been an average handler on both teams. I feel pretty confident about reading the game, but have a poor flick throw and am not very athletic.",Informally to teammates during timeouts or on the sidelines.,Handler,40 yards or more,10-20 yards,Short Deep,Definitely yes,Extremely comfortable,Extremely comfortable,Right,Forehand / Backhand,"If the direction was home or away I only looked at the sideline circles. If the direction was forehand or backhand, I only looked at the person with the disc.","It was definitely most difficult when the person was facing towards me and either right or left was the direction used. Home and away were always simple, as was left and right when the person was facing the same direction as me.",No,No,35859198,22363073,2
