,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType,leftRight,flipper,newCorrect
22,near_right,Right,right,0.0,0.0,11.0,21208596,right,1.0,1.065999999999974,Frisbee,Near,Relative,Right,nonflipper,1.0
23,far_left,Away,right,0.0,1.0,12.0,21208596,right,1.0,0.9499999999999886,Frisbee,Far,Absolute,Left,nonflipper,1.0
24,far_left,Right,left,0.0,2.0,8.0,21208596,left,1.0,0.7330000000000041,Frisbee,Far,Relative,Left,nonflipper,1.0
25,far_right,Away,left,0.0,3.0,13.0,21208596,left,1.0,1.0329999999999586,Frisbee,Far,Absolute,Right,nonflipper,1.0
26,far_left,Home,right,0.0,4.0,4.0,21208596,right,1.0,1.233000000000004,Frisbee,Far,Absolute,Left,nonflipper,1.0
27,far_right,Left,left,0.0,5.0,1.0,21208596,left,1.0,1.0,Frisbee,Far,Relative,Right,nonflipper,1.0
28,far_right,Home,right,0.0,6.0,5.0,21208596,right,1.0,1.233000000000004,Frisbee,Far,Absolute,Right,nonflipper,1.0
29,far_left,Left,left,0.0,7.0,0.0,21208596,left,1.0,0.6659999999999968,Frisbee,Far,Relative,Left,nonflipper,1.0
30,near_left,Right,left,0.0,8.0,10.0,21208596,left,1.0,0.9500000000000456,Frisbee,Near,Relative,Left,nonflipper,1.0
31,far_right,Right,right,0.0,9.0,9.0,21208596,right,1.0,1.217999999999961,Frisbee,Far,Relative,Right,nonflipper,1.0
32,near_left,Left,right,0.0,10.0,2.0,21208596,right,1.0,1.099999999999966,Frisbee,Near,Relative,Left,nonflipper,1.0
33,near_right,Home,left,0.0,11.0,7.0,21208596,left,1.0,1.2150000000000318,Frisbee,Near,Absolute,Right,nonflipper,1.0
34,near_left,Home,left,0.0,12.0,6.0,21208596,left,1.0,0.7160000000000082,Frisbee,Near,Absolute,Left,nonflipper,1.0
35,near_right,Away,left,0.0,13.0,15.0,21208596,left,1.0,1.7509999999999764,Frisbee,Near,Absolute,Right,nonflipper,1.0
36,near_left,Away,right,0.0,14.0,14.0,21208596,right,1.0,1.0319999999999825,Frisbee,Near,Absolute,Left,nonflipper,1.0
37,near_right,Left,right,0.0,15.0,3.0,21208596,right,1.0,0.9000000000000341,Frisbee,Near,Relative,Right,nonflipper,1.0
38,near_right,Right,right,1.0,0.0,11.0,21208596,right,1.0,1.2170000000000414,Frisbee,Near,Relative,Right,nonflipper,1.0
39,far_right,Home,right,1.0,1.0,5.0,21208596,right,1.0,1.0500000000000114,Frisbee,Far,Absolute,Right,nonflipper,1.0
40,near_right,Away,left,1.0,2.0,15.0,21208596,left,1.0,0.9669999999999844,Frisbee,Near,Absolute,Right,nonflipper,1.0
41,near_left,Away,right,1.0,3.0,14.0,21208596,right,1.0,1.0339999999999918,Frisbee,Near,Absolute,Left,nonflipper,1.0
42,near_left,Left,right,1.0,4.0,2.0,21208596,right,1.0,0.8500000000000227,Frisbee,Near,Relative,Left,nonflipper,1.0
43,far_right,Away,left,1.0,5.0,13.0,21208596,left,1.0,1.1019999999999754,Frisbee,Far,Absolute,Right,nonflipper,1.0
44,near_right,Home,left,1.0,6.0,7.0,21208596,left,1.0,1.0680000000000405,Frisbee,Near,Absolute,Right,nonflipper,1.0
45,far_left,Left,left,1.0,7.0,0.0,21208596,left,1.0,0.9499999999999886,Frisbee,Far,Relative,Left,nonflipper,1.0
46,far_left,Right,left,1.0,8.0,8.0,21208596,left,1.0,0.8170000000000073,Frisbee,Far,Relative,Left,nonflipper,1.0
47,far_right,Left,left,1.0,9.0,1.0,21208596,left,1.0,0.7330000000000041,Frisbee,Far,Relative,Right,nonflipper,1.0
48,near_right,Left,right,1.0,10.0,3.0,21208596,right,1.0,0.6680000000000064,Frisbee,Near,Relative,Right,nonflipper,1.0
49,near_left,Right,left,1.0,11.0,10.0,21208596,left,1.0,1.0,Frisbee,Near,Relative,Left,nonflipper,1.0
50,far_right,Right,right,1.0,12.0,9.0,21208596,right,1.0,0.9010000000000103,Frisbee,Far,Relative,Right,nonflipper,1.0
51,near_left,Home,left,1.0,13.0,6.0,21208596,left,1.0,1.0339999999999918,Frisbee,Near,Absolute,Left,nonflipper,1.0
