,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,participant,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType
22,near_right,Home,right,0.0,0.0,11.0,21208596,right,1.0,1.065999999999974,friz,near,abs
23,far_left,Away,right,0.0,1.0,12.0,21208596,right,1.0,0.9499999999999886,friz,far,abs
24,far_left,Home,left,0.0,2.0,8.0,21208596,left,1.0,0.7330000000000041,friz,far,abs
25,far_right,Away,left,0.0,3.0,13.0,21208596,left,1.0,1.0329999999999586,friz,far,abs
26,far_left,Left,right,0.0,4.0,4.0,21208596,right,1.0,1.233000000000004,friz,far,rel
27,far_right,Right,left,0.0,5.0,1.0,21208596,left,1.0,1.0,friz,far,rel
28,far_right,Left,right,0.0,6.0,5.0,21208596,right,1.0,1.233000000000004,friz,far,rel
29,far_left,Right,left,0.0,7.0,0.0,21208596,left,1.0,0.6659999999999968,friz,far,rel
30,near_left,Home,left,0.0,8.0,10.0,21208596,left,1.0,0.9500000000000456,friz,near,abs
31,far_right,Home,right,0.0,9.0,9.0,21208596,right,1.0,1.217999999999961,friz,far,abs
32,near_left,Right,right,0.0,10.0,2.0,21208596,right,1.0,1.099999999999966,friz,near,rel
33,near_right,Left,left,0.0,11.0,7.0,21208596,left,1.0,1.2150000000000318,friz,near,rel
34,near_left,Left,left,0.0,12.0,6.0,21208596,left,1.0,0.7160000000000082,friz,near,rel
35,near_right,Away,left,0.0,13.0,15.0,21208596,left,1.0,1.7509999999999764,friz,near,abs
36,near_left,Away,right,0.0,14.0,14.0,21208596,right,1.0,1.0319999999999825,friz,near,abs
37,near_right,Right,right,0.0,15.0,3.0,21208596,right,1.0,0.9000000000000341,friz,near,rel
38,near_right,Home,right,1.0,0.0,11.0,21208596,right,1.0,1.2170000000000414,friz,near,abs
39,far_right,Left,right,1.0,1.0,5.0,21208596,right,1.0,1.0500000000000114,friz,far,rel
40,near_right,Away,left,1.0,2.0,15.0,21208596,left,1.0,0.9669999999999844,friz,near,abs
41,near_left,Away,right,1.0,3.0,14.0,21208596,right,1.0,1.0339999999999918,friz,near,abs
42,near_left,Right,right,1.0,4.0,2.0,21208596,right,1.0,0.8500000000000227,friz,near,rel
43,far_right,Away,left,1.0,5.0,13.0,21208596,left,1.0,1.1019999999999754,friz,far,abs
44,near_right,Left,left,1.0,6.0,7.0,21208596,left,1.0,1.0680000000000405,friz,near,rel
45,far_left,Right,left,1.0,7.0,0.0,21208596,left,1.0,0.9499999999999886,friz,far,rel
46,far_left,Home,left,1.0,8.0,8.0,21208596,left,1.0,0.8170000000000073,friz,far,abs
47,far_right,Right,left,1.0,9.0,1.0,21208596,left,1.0,0.7330000000000041,friz,far,rel
48,near_right,Right,right,1.0,10.0,3.0,21208596,right,1.0,0.6680000000000064,friz,near,rel
49,near_left,Home,left,1.0,11.0,10.0,21208596,left,1.0,1.0,friz,near,abs
50,far_right,Home,right,1.0,12.0,9.0,21208596,right,1.0,0.9010000000000103,friz,far,abs
51,near_left,Left,left,1.0,13.0,6.0,21208596,left,1.0,1.0339999999999918,friz,near,rel
52,far_left,Left,right,1.0,14.0,4.0,21208596,right,1.0,1.1329999999999814,friz,far,rel
53,far_left,Away,right,1.0,15.0,12.0,21208596,right,1.0,1.1650000000000205,friz,far,abs
54,far_left,Away,right,2.0,0.0,12.0,21208596,right,1.0,0.6499999999999773,friz,far,abs
55,near_right,Away,left,2.0,1.0,15.0,21208596,left,1.0,0.7330000000000041,friz,near,abs
56,far_left,Left,right,2.0,2.0,4.0,21208596,right,1.0,0.7819999999999823,friz,far,rel
57,near_right,Home,right,2.0,3.0,11.0,21208596,right,1.0,0.7660000000000196,friz,near,abs
58,far_right,Left,right,2.0,4.0,5.0,21208596,right,1.0,1.0,friz,far,rel
59,far_left,Right,left,2.0,5.0,0.0,21208596,left,1.0,0.9010000000000103,friz,far,rel
60,far_left,Home,left,2.0,6.0,8.0,21208596,left,1.0,0.8170000000000073,friz,far,abs
61,far_right,Away,left,2.0,7.0,13.0,21208596,left,1.0,1.1490000000000011,friz,far,abs
62,far_right,Home,right,2.0,8.0,9.0,21208596,right,1.0,1.2989999999999782,friz,far,abs
63,near_left,Right,right,2.0,9.0,2.0,21208596,right,1.0,0.8100000000000023,friz,near,rel
64,near_left,Away,right,2.0,10.0,14.0,21208596,left,0.0,0.7170000000000414,friz,near,abs
65,near_right,Right,right,2.0,11.0,3.0,21208596,right,1.0,0.8659999999999854,friz,near,rel
66,near_left,Left,left,2.0,12.0,6.0,21208596,left,1.0,0.9490000000000124,friz,near,rel
67,near_right,Left,left,2.0,13.0,7.0,21208596,left,1.0,0.9850000000000136,friz,near,rel
68,near_left,Home,left,2.0,14.0,10.0,21208596,left,1.0,1.0,friz,near,abs
69,far_right,Right,left,2.0,15.0,1.0,21208596,left,1.0,0.8830000000000382,friz,far,rel
70,near_right,Left,left,3.0,0.0,7.0,21208596,left,1.0,0.8329999999999699,friz,near,rel
71,near_right,Right,right,3.0,1.0,3.0,21208596,right,1.0,0.9850000000000136,friz,near,rel
72,near_left,Right,right,3.0,2.0,2.0,21208596,right,1.0,1.4499999999999886,friz,near,rel
73,far_right,Away,left,3.0,3.0,13.0,21208596,left,1.0,1.2819999999999825,friz,far,abs
