participant,Unnamed: 0,stim1,prompt1,answer1,trialsthisRepN,trialsthisTrialN,trialsthisIndex,Trials_responsekeys,Trials_responsecorr,Trials_responsert,condition,stimLoc,promptType,leftRight,flipper,newCorrect,Sex,Age,SBSOD_AVERAGE,Friz_Total_Years_Played,Friz_Force_Preference,Friz_Position,Friz_Handedness,Friz_First_is_1
2189950,22,near_left,Home,left,0.0,0.0,6.0,left,1.0,1.0670000000000073,Frisbee,Near,Absolute,Left,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
2189950,23,far_left,Away,right,0.0,1.0,12.0,right,1.0,1.0049999999999957,Frisbee,Far,Absolute,Left,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
2189950,24,far_right,Home,right,0.0,2.0,5.0,right,1.0,0.9989999999999952,Frisbee,Far,Absolute,Right,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
2189950,25,far_right,Left,left,0.0,3.0,1.0,left,1.0,0.9320000000000164,Frisbee,Far,Relative,Right,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
2189950,26,far_right,Right,right,0.0,4.0,9.0,right,1.0,0.7340000000000089,Frisbee,Far,Relative,Right,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
2189950,27,far_left,Left,left,0.0,5.0,0.0,left,1.0,1.2340000000000089,Frisbee,Far,Relative,Left,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
2189950,28,near_left,Right,left,0.0,6.0,10.0,left,1.0,0.983000000000004,Frisbee,Near,Relative,Left,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
2189950,29,near_left,Away,right,0.0,7.0,14.0,right,1.0,0.6659999999999968,Frisbee,Near,Absolute,Left,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
2189950,30,near_right,Right,right,0.0,8.0,11.0,right,1.0,1.0360000000000014,Frisbee,Near,Relative,Right,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
2189950,31,near_right,Away,left,0.0,9.0,15.0,left,1.0,1.1670000000000016,Frisbee,Near,Absolute,Right,nonflipper,1.0,male,30,3.0,15,Home / Away,Handler,Right,2
