Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.702, space, 4.433000000000002, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 15.866, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 12.417000000000002, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.9329999999999998, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.382999999999996, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 12.267000000000003, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 10.450000000000003, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 9.415999999999997, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 7.316999999999993, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.75, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.0500000000000114, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.5499999999999972, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 61853264, Sun Aug 20 2017 11:44:11 GMT-0400 (EDT), Ultimate_Frisbee, 60
