Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.285000000000002, space, 3.2349999999999994, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 12.373000000000001, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.64, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 20.426999999999992, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 83.909, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 8.088999999999999, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 12.088999999999999, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 12.857, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 9.62100000000001, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 26.97999999999999, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.556999999999988, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 4.5020000000000095, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.888999999999982, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 7.519999999999982, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , 0, 2.7180000000000177, space, 4.7520000000000095, left, 2.084000000000003, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.5, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.1170000000000186, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.1000000000000227, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , left, 1.25, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 0.6000000000000227, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 55572456, Sat Oct 21 2017 14:18:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
